time_s,segment,segment_type,state,truth_x_m,truth_y_m,truth_yaw_rad,filtered_x_m,filtered_y_m,filtered_yaw_rad,reference_start_x_m,reference_start_y_m,reference_end_x_m,reference_end_y_m,cross_track_error_m,scored_line_sample
238.64,11,2,4,0.03439044166179572,4.008129717322229,1.3611081300152503,0.03298524059863352,4.007013080587005,1.3595710292595526,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010701802699552426,1
238.65,11,2,4,0.03443799441819784,4.008329929191677,1.361115613383684,0.03298524059863352,4.007013080587005,1.3595710292595526,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010704847597458808,1
238.66,11,2,4,0.03447884707236515,4.008501405364492,1.3611442242372345,0.03315284384903299,4.007501535489373,1.3657482730374824,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010706239971210358,1
238.67,11,2,4,0.034515510107141045,4.008654688574931,1.3611386981257048,0.03315284384903299,4.007501535489373,1.3657482730374824,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010706077376904895,1
238.68,11,2,4,0.03454529464756062,4.008779703725542,1.3611243621565992,0.033294973082591474,4.007877182239567,1.3610649693964076,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010707084647177463,1
238.69,11,2,4,0.034570600759658676,4.008885107873995,1.3610456486593967,0.033294973082591474,4.007877182239567,1.3610649693964076,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.001070604860988298,1
238.7,11,2,4,0.034588463890802945,4.008960769632794,1.3609108869340136,0.033416149260049974,4.008146937081131,1.3599374199815812,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010708244426238655,1
238.71,11,2,4,0.034602263097608166,4.009019065981593,1.360833631508728,0.033416149260049974,4.008146937081131,1.3599374199815812,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010709587025644412,1
238.72,11,2,4,0.034609512567135514,4.009049531899664,1.3607899858710775,0.03435234742484139,4.008726080585581,1.359146416333085,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010709919616600462,1
238.73,11,2,4,0.034612569539378635,4.00906214134743,1.3607657996642037,0.03435234742484139,4.008726080585581,1.359146416333085,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010709507651133234,1
238.74,11,2,4,0.03461254255502766,4.009061492845218,1.360743989839744,0.03445271524494963,4.008817429592832,1.3608184076656924,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010708262181573724,1
238.75,11,2,4,0.03461253318001023,4.009061201288691,1.3607476803949867,0.03445271524494963,4.008817429592832,1.3608184076656924,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010707675426109833,1
238.76,11,2,4,0.03461252142847737,4.0090609430822575,1.3607562942566034,0.03453447973639707,4.008821979883843,1.3577845626523153,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.001070718933106333,1
238.77,11,2,4,0.034612490936692275,4.009060323050266,1.3607408986698728,0.03453447973639707,4.008821979883843,1.3577845626523153,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010706044174304944,1
238.78,11,2,4,0.03461246327212075,4.009059657676622,1.3607185159929995,0.03461252719314027,4.008807992384128,1.3581540387391522,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010704766090545695,1
238.79,11,2,4,0.034612416819332026,4.009058787148238,1.3607424499147471,0.03461252719314027,4.008807992384128,1.3581540387391522,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010703193707287128,1
238.8,11,2,4,0.034612365953524904,4.009057600018154,1.360782700430237,0.03428438984170508,4.010039682826946,1.361285568098294,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010700928072824175,1
238.81,11,2,4,0.034612324180495646,4.0090565631812565,1.3608176768880131,0.03428438984170508,4.010039682826946,1.361285568098294,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010698923469082055,1
